OID,X,Y,New_Zealand_Elevation
17968,1557816.039,5455638.567,1442.06543
17969,1558816.039,5455638.567,1366.848755
17970,1559816.039,5455638.567,1126.578979
17971,1560816.039,5455638.567,1311.144287
17972,1561816.039,5455638.567,1089.282593
17973,1562816.039,5455638.567,927.994202
17974,1563816.039,5455638.567,872.206909
17975,1564816.039,5455638.567,1075.054688
17976,1565816.039,5455638.567,975.717773
17977,1566816.039,5455638.567,1156.878418
17978,1567816.039,5455638.567,1006.046814
17979,1568816.039,5455638.567,905.530701
17980,1569816.039,5455638.567,784.053223
17981,1570816.039,5455638.567,712.57251
17982,1571816.039,5455638.567,561.674683
17983,1572816.039,5455638.567,706.563293
17984,1573816.039,5455638.567,881.472534
17985,1574816.039,5455638.567,843.782593
17986,1575816.039,5455638.567,806.279602
17987,1576816.039,5455638.567,808.756836
17988,1577816.039,5455638.567,792.587585
17989,1578816.039,5455638.567,572.30835
17990,1579816.039,5455638.567,393.831299
17991,1580816.039,5455638.567,465.189484
17992,1581816.039,5455638.567,225.99968
17993,1582816.039,5455638.567,409.36499
17994,1583816.039,5455638.567,167.263
17995,1584816.039,5455638.567,169.297989
17996,1585816.039,5455638.567,177.816147
18061,1521816.039,5456638.567,0
18062,1522816.039,5456638.567,0
18063,1523816.039,5456638.567,0
18064,1524816.039,5456638.567,10.515471
18065,1525816.039,5456638.567,351.764038
18066,1526816.039,5456638.567,476.81012
18067,1527816.039,5456638.567,529.378174
18068,1528816.039,5456638.567,698.022095
18069,1529816.039,5456638.567,905.835571
18070,1530816.039,5456638.567,1086.629395
18071,1531816.039,5456638.567,1133.416016
18072,1532816.039,5456638.567,1080.398926
18073,1533816.039,5456638.567,958.763062
18074,1534816.039,5456638.567,876.869873
18075,1535816.039,5456638.567,993.695007
18076,1536816.039,5456638.567,1037.165649
18077,1537816.039,5456638.567,892.272339
18078,1538816.039,5456638.567,1106.117065
18079,1539816.039,5456638.567,1060.270996
18080,1540816.039,5456638.567,943.583435
18081,1541816.039,5456638.567,944.799927
18082,1542816.039,5456638.567,941.725952
18083,1543816.039,5456638.567,1302.318359
18084,1544816.039,5456638.567,868.75708
18085,1545816.039,5456638.567,1028.595581
18086,1546816.039,5456638.567,1167.086304
18087,1547816.039,5456638.567,1174.124634
18088,1548816.039,5456638.567,904.776184
18089,1549816.039,5456638.567,1040.966309
18090,1550816.039,5456638.567,1223.042847
18091,1551816.039,5456638.567,1107.107788
18092,1552816.039,5456638.567,1273.073486
18093,1553816.039,5456638.567,923.214417
18094,1554816.039,5456638.567,1077.112549
18095,1555816.039,5456638.567,1307.844849
18096,1556816.039,5456638.567,1249.648193
18097,1557816.039,5456638.567,1449.334473
18098,1558816.039,5456638.567,1180.292603
18099,1559816.039,5456638.567,1254.314331
18100,1560816.039,5456638.567,1383.205322
18101,1561816.039,5456638.567,1342.661987
18102,1562816.039,5456638.567,1103.439331
18103,1563816.039,5456638.567,1055.763916
18104,1564816.039,5456638.567,1319.372559
18105,1565816.039,5456638.567,1249.714111
18106,1566816.039,5456638.567,1590.446411
18107,1567816.039,5456638.567,1469.119629
18108,1568816.039,5456638.567,1279.962402
18109,1569816.039,5456638.567,1111.814697
18110,1570816.039,5456638.567,771.892883
18111,1571816.039,5456638.567,588.409058
18112,1572816.039,5456638.567,528.62262
18113,1573816.039,5456638.567,487.17276
18114,1574816.039,5456638.567,500.672485
18115,1575816.039,5456638.567,470.166077
18116,1576816.039,5456638.567,686.683594
18117,1577816.039,5456638.567,818.90271
18118,1578816.039,5456638.567,768.590698
18119,1579816.039,5456638.567,556.216797
18120,1580816.039,5456638.567,640.323242
18121,1581816.039,5456638.567,241.092789
18122,1582816.039,5456638.567,249.832031
18123,1583816.039,5456638.567,124.620796
18124,1584816.039,5456638.567,139.065643
18125,1585816.039,5456638.567,133.66362
18190,1521816.039,5457638.567,0
18191,1522816.039,5457638.567,0
18192,1523816.039,5457638.567,0
18193,1524816.039,5457638.567,0.477305
18194,1525816.039,5457638.567,253.191345
18195,1526816.039,5457638.567,534.682739
18196,1527816.039,5457638.567,766.299805
18197,1528816.039,5457638.567,933.15741
18198,1529816.039,5457638.567,1059.514526
18199,1530816.039,5457638.567,1141.473755
18200,1531816.039,5457638.567,1155.307739
18201,1532816.039,5457638.567,1088.124878
18202,1533816.039,5457638.567,995.061646
18203,1534816.039,5457638.567,945.665161
18204,1535816.039,5457638.567,1112.907593
18205,1536816.039,5457638.567,950.800964
18206,1537816.039,5457638.567,778.079529
18207,1538816.039,5457638.567,843.474121
18208,1539816.039,5457638.567,1022.362671
18209,1540816.039,5457638.567,1207.228638
18210,1541816.039,5457638.567,1137.508423
18211,1542816.039,5457638.567,1167.050903
18212,1543816.039,5457638.567,1131.816528
18213,1544816.039,5457638.567,744.281189
18214,1545816.039,5457638.567,871.929077
18215,1546816.039,5457638.567,1215.290161
18216,1547816.039,5457638.567,1137.074951
18217,1548816.039,5457638.567,1133.20105
18218,1549816.039,5457638.567,1241.569092
18219,1550816.039,5457638.567,1333.598877
18220,1551816.039,5457638.567,1326.750366
18221,1552816.039,5457638.567,1214.88562
18222,1553816.039,5457638.567,964.001221
18223,1554816.039,5457638.567,1125.773804
18224,1555816.039,5457638.567,1454.836304
18225,1556816.039,5457638.567,1257.466309
18226,1557816.039,5457638.567,1361.319214
18227,1558816.039,5457638.567,961.492859
18228,1559816.039,5457638.567,914.999756
18229,1560816.039,5457638.567,989.699219
18230,1561816.039,5457638.567,1317.781982
18231,1562816.039,5457638.567,1278.302612
18232,1563816.039,5457638.567,1336.283569
18233,1564816.039,5457638.567,1364.361816
18234,1565816.039,5457638.567,1378.081665
18235,1566816.039,5457638.567,1671.147217
18236,1567816.039,5457638.567,1464.819458
18237,1568816.039,5457638.567,1145.027954
18238,1569816.039,5457638.567,715.780518
18239,1570816.039,5457638.567,724.287109
18240,1571816.039,5457638.567,955.619446
18241,1572816.039,5457638.567,817.122681
18242,1573816.039,5457638.567,751.338135
18243,1574816.039,5457638.567,939.443909
18244,1575816.039,5457638.567,620.542786
18245,1576816.039,5457638.567,552.743103
18246,1577816.039,5457638.567,805.158875
18247,1578816.039,5457638.567,703.172485
18248,1579816.039,5457638.567,720.482727
18249,1580816.039,5457638.567,546.338684
18250,1581816.039,5457638.567,161.066574
18251,1582816.039,5457638.567,204.772034
18252,1583816.039,5457638.567,104.650253
18253,1584816.039,5457638.567,114.02832
18254,1585816.039,5457638.567,176.630692
18319,1521816.039,5458638.567,0
18320,1522816.039,5458638.567,0
18321,1523816.039,5458638.567,0
18322,1524816.039,5458638.567,5.040447
18323,1525816.039,5458638.567,163.892609
18324,1526816.039,5458638.567,372.663666
18325,1527816.039,5458638.567,497.280151
18326,1528816.039,5458638.567,681.552429
18327,1529816.039,5458638.567,1028.927368
18328,1530816.039,5458638.567,1147.907593
18329,1531816.039,5458638.567,1045.614258
18330,1532816.039,5458638.567,1017.615479
18331,1533816.039,5458638.567,1024.503418
18332,1534816.039,5458638.567,869.329895
18333,1535816.039,5458638.567,1070.3573
18334,1536816.039,5458638.567,968.921143
18335,1537816.039,5458638.567,773.784912
18336,1538816.039,5458638.567,787.747314
18337,1539816.039,5458638.567,695.751099
18338,1540816.039,5458638.567,972.369324
18339,1541816.039,5458638.567,1257.771118
18340,1542816.039,5458638.567,1199.087036
18341,1543816.039,5458638.567,872.692871
18342,1544816.039,5458638.567,1053.351074
18343,1545816.039,5458638.567,617.56543
18344,1546816.039,5458638.567,977.897217
18345,1547816.039,5458638.567,1410.602539
18346,1548816.039,5458638.567,1277.822876
18347,1549816.039,5458638.567,1340.06958
18348,1550816.039,5458638.567,1143.292969
18349,1551816.039,5458638.567,979.368164
18350,1552816.039,5458638.567,1357.274536
18351,1553816.039,5458638.567,1294.154053
18352,1554816.039,5458638.567,1367.048706
18353,1555816.039,5458638.567,1488.886108
18354,1556816.039,5458638.567,1526.006714
18355,1557816.039,5458638.567,1513.591675
18356,1558816.039,5458638.567,1233.774902
18357,1559816.039,5458638.567,837.689148
18358,1560816.039,5458638.567,706.302429
18359,1561816.039,5458638.567,1268.202393
18360,1562816.039,5458638.567,1560.760864
18361,1563816.039,5458638.567,1521.838623
18362,1564816.039,5458638.567,1393.623291
18363,1565816.039,5458638.567,1375.57019
18364,1566816.039,5458638.567,1444.638916
18365,1567816.039,5458638.567,1216.561035
18366,1568816.039,5458638.567,927.214294
18367,1569816.039,5458638.567,701.907288
18368,1570816.039,5458638.567,1168.134399
18369,1571816.039,5458638.567,1225.60498
18370,1572816.039,5458638.567,767.229675
18371,1573816.039,5458638.567,1174.707642
18372,1574816.039,5458638.567,1149.071045
18373,1575816.039,5458638.567,661.663391
18374,1576816.039,5458638.567,604.867676
18375,1577816.039,5458638.567,960.723206
18376,1578816.039,5458638.567,856.604492
18377,1579816.039,5458638.567,763.51825
18378,1580816.039,5458638.567,554.162415
18379,1581816.039,5458638.567,477.698517
18380,1582816.039,5458638.567,204.322174
18381,1583816.039,5458638.567,95.899925
18382,1584816.039,5458638.567,97.647507
18383,1585816.039,5458638.567,199.409775
18448,1521816.039,5459638.567,0
18449,1522816.039,5459638.567,0
18450,1523816.039,5459638.567,0
18451,1524816.039,5459638.567,3.848099
18452,1525816.039,5459638.567,153.925446
18453,1526816.039,5459638.567,302.925568
18454,1527816.039,5459638.567,456.490356
18455,1528816.039,5459638.567,724.901245
18456,1529816.039,5459638.567,1059.025146
18457,1530816.039,5459638.567,1127.544556
18458,1531816.039,5459638.567,1065.446411
18459,1532816.039,5459638.567,902.499695
18460,1533816.039,5459638.567,837.687927
18461,1534816.039,5459638.567,664.691772
18462,1535816.039,5459638.567,939.841858
18463,1536816.039,5459638.567,983.518799
18464,1537816.039,5459638.567,923.700623
18465,1538816.039,5459638.567,737.709412
18466,1539816.039,5459638.567,639.645081
18467,1540816.039,5459638.567,928.484436
18468,1541816.039,5459638.567,1245.554688
18469,1542816.039,5459638.567,1174.857178
18470,1543816.039,5459638.567,1021.508484
18471,1544816.039,5459638.567,1009.753418
18472,1545816.039,5459638.567,691.846985
18473,1546816.039,5459638.567,783.345154
18474,1547816.039,5459638.567,1140.777222
18475,1548816.039,5459638.567,1293.05481
18476,1549816.039,5459638.567,939.791016
18477,1550816.039,5459638.567,917.515015
18478,1551816.039,5459638.567,783.890381
18479,1552816.039,5459638.567,1190.068604
18480,1553816.039,5459638.567,926.790405
18481,1554816.039,5459638.567,1224.381714
18482,1555816.039,5459638.567,1259.665771
18483,1556816.039,5459638.567,1389.401001
18484,1557816.039,5459638.567,1138.610474
18485,1558816.039,5459638.567,1153.866821
18486,1559816.039,5459638.567,909.71521
18487,1560816.039,5459638.567,627.676575
18488,1561816.039,5459638.567,1273.215088
18489,1562816.039,5459638.567,1346.55957
18490,1563816.039,5459638.567,1335.747192
18491,1564816.039,5459638.567,1186.19043
18492,1565816.039,5459638.567,992.416443
18493,1566816.039,5459638.567,1184.279419
18494,1567816.039,5459638.567,881.259888
18495,1568816.039,5459638.567,771.248901
18496,1569816.039,5459638.567,1077.951782
18497,1570816.039,5459638.567,1315.421631
18498,1571816.039,5459638.567,934.841187
18499,1572816.039,5459638.567,1000.956543
18500,1573816.039,5459638.567,1328.23938
18501,1574816.039,5459638.567,1004.672302
18502,1575816.039,5459638.567,612.492004
18503,1576816.039,5459638.567,369.302734
18504,1577816.039,5459638.567,614.209167
18505,1578816.039,5459638.567,553.865723
18506,1579816.039,5459638.567,837.865906
18507,1580816.039,5459638.567,579.315674
18508,1581816.039,5459638.567,329.750366
18509,1582816.039,5459638.567,212.51683
18510,1583816.039,5459638.567,133.439209
18511,1584816.039,5459638.567,81.3815
18512,1585816.039,5459638.567,280.738892
18577,1521816.039,5460638.567,0
18578,1522816.039,5460638.567,0
18579,1523816.039,5460638.567,0
18580,1524816.039,5460638.567,7.967013
18581,1525816.039,5460638.567,262.780243
18582,1526816.039,5460638.567,518.139893
18583,1527816.039,5460638.567,692.70697
18584,1528816.039,5460638.567,873.028198
18585,1529816.039,5460638.567,1034.72937
18586,1530816.039,5460638.567,1028.016113
18587,1531816.039,5460638.567,977.108704
18588,1532816.039,5460638.567,792.927979
18589,1533816.039,5460638.567,577.867004
18590,1534816.039,5460638.567,754.563416
18591,1535816.039,5460638.567,1013.927246
18592,1536816.039,5460638.567,995.543457
18593,1537816.039,5460638.567,982.040894
18594,1538816.039,5460638.567,700.601624
18595,1539816.039,5460638.567,561.06958
18596,1540816.039,5460638.567,771.04834
18597,1541816.039,5460638.567,1056.432739
18598,1542816.039,5460638.567,1238.384033
18599,1543816.039,5460638.567,1138.135132
18600,1544816.039,5460638.567,752.414185
18601,1545816.039,5460638.567,783.578308
18602,1546816.039,5460638.567,597.100037
18603,1547816.039,5460638.567,695.964783
18604,1548816.039,5460638.567,1015.622009
18605,1549816.039,5460638.567,946.95752
18606,1550816.039,5460638.567,827.2948
18607,1551816.039,5460638.567,679.307007
18608,1552816.039,5460638.567,843.236084
18609,1553816.039,5460638.567,689.404419
18610,1554816.039,5460638.567,801.338562
18611,1555816.039,5460638.567,1056.138428
18612,1556816.039,5460638.567,1332.143555
18613,1557816.039,5460638.567,1287.176636
18614,1558816.039,5460638.567,987.656128
18615,1559816.039,5460638.567,669.479736
18616,1560816.039,5460638.567,704.324768
18617,1561816.039,5460638.567,1306.035034
18618,1562816.039,5460638.567,1254.363892
18619,1563816.039,5460638.567,1008.497253
18620,1564816.039,5460638.567,1060.998535
18621,1565816.039,5460638.567,858.495911
18622,1566816.039,5460638.567,805.073059
18623,1567816.039,5460638.567,894.943665
18624,1568816.039,5460638.567,1135.154907
18625,1569816.039,5460638.567,1376.392822
18626,1570816.039,5460638.567,1036.217651
18627,1571816.039,5460638.567,1173.921021
18628,1572816.039,5460638.567,1281.153076
18629,1573816.039,5460638.567,1323.211792
18630,1574816.039,5460638.567,1039.513306
18631,1575816.039,5460638.567,713.789124
18632,1576816.039,5460638.567,527.523926
18633,1577816.039,5460638.567,522.78186
18634,1578816.039,5460638.567,388.86911
18635,1579816.039,5460638.567,817.762695
18636,1580816.039,5460638.567,628.664185
18637,1581816.039,5460638.567,362.160919
18638,1582816.039,5460638.567,216.419662
18639,1583816.039,5460638.567,112.875137
18640,1584816.039,5460638.567,74.663376
18641,1585816.039,5460638.567,242.697968
18706,1521816.039,5461638.567,0
18707,1522816.039,5461638.567,0
18708,1523816.039,5461638.567,0
18709,1524816.039,5461638.567,18.331247
18710,1525816.039,5461638.567,228.277863
18711,1526816.039,5461638.567,435.601288
18712,1527816.039,5461638.567,557.800964
18713,1528816.039,5461638.567,677.156799
18714,1529816.039,5461638.567,877.14856
18715,1530816.039,5461638.567,816.789429
18716,1531816.039,5461638.567,643.958679
18717,1532816.039,5461638.567,594.425049
18718,1533816.039,5461638.567,437.118011
18719,1534816.039,5461638.567,679.540527
18720,1535816.039,5461638.567,928.308899
18721,1536816.039,5461638.567,1040.004639
18722,1537816.039,5461638.567,986.587585
18723,1538816.039,5461638.567,779.418884
18724,1539816.039,5461638.567,536.119751
18725,1540816.039,5461638.567,704.915039
18726,1541816.039,5461638.567,817.043945
